keys,de,en
RECON_Q5_SCHEMA_REVEAL,Bildschirm zoomen,Zoom into screen
RECON_Q5_SCHEMA_AUTHOR,"kevin_broesmeli · Bildschirm, herangezoomt","kevin_broesmeli · screen, zoomed in"
RECON_Q5_SCHEMA_BODY,"Auf dem Bildschirm hinter Kevin ist die frisch eingerichtete Mail-Signatur offen. Kevin Brösmeli, kevin.broesmeli@fintech.ch. Daraus lässt sich das Schema ableiten: ⟦vorname.nachname@fintech.ch⟧.","On the screen behind Kevin his freshly set up mail signature is open. Kevin Brösmeli, kevin.broesmeli@fintech.ch. The schema follows from it: ⟦firstname.lastname@fintech.ch⟧."
RECON_Q6_KUNUNU_TITLE,Anonyme Bewertung: Firmenkultur,Anonymous review: company culture
RECON_Q6_KUNUNU_STARS,2,2
RECON_Q6_KUNUNU_AUTHOR,Rechnungswesen · Ehemalige/r · 2 Sterne,Accounting · former employee · 2 stars
RECON_Q6_KUNUNU_BODY,"Solide Firma, aber die Hierarchie ist old school. Fachlich lernt man viel, das Team ist top. Was mich gestört hat: Prozesse werden nicht hinterfragt. ⟦Kommt eine Anweisung von oben oder von der IT, wird sie ausgeführt, Punkt. Nachfragen ist unerwünscht⟧, das wurde mir früh klargemacht. Der Chef ist zudem kaum je greifbar, alles läuft über die Assistenz. Für Eigenständige frustrierend, für Leute die klare Ansagen mögen ok.","Solid company, but the hierarchy is old school. You learn a lot professionally and the team is great. What bothered me: processes are never questioned. ⟦If an instruction comes from above or from IT, it gets carried out, full stop. Asking questions is unwelcome⟧, that was made clear to me early on. The boss is also barely ever available, everything runs through his assistant. Frustrating for independent people, fine for those who like clear orders."
RECON_Q6X_LOB_TITLE,Bewertung: Rundum-Lob ohne Inhalt,Review: blanket praise with no substance
RECON_Q6X_LOB_STARS,5,5
RECON_Q6X_LOB_AUTHOR,Alle Abteilungen · Aktuell · 5 Sterne,All departments · current employee · 5 stars
RECON_Q6X_LOB_BODY,"Beste Firma überhaupt. ⟦Mega Team, mega Spirit⟧, würde sofort wieder anfangen. Gibt nichts zu meckern.","Best company ever. ⟦Great team, great spirit⟧, would join again in a heartbeat. Nothing to complain about."
RECON_Q7_JODLER_TITLE,"Suchtreffer: Hannes Zinsli, Jodel-Dirigent","Search result: Hannes Zinsli, yodelling conductor"
RECON_Q7_JODLER_AUTHOR,goggle.local · Ergebnis 3 von 41,goggle.local · result 3 of 41
RECON_Q7_JODLER_BODY,Hannes Zinsli holt Gold am Eidgenössischen. jodlerverband-emmental.ch. Unser Dirigent Hannes Zinsli leitet das ⟦Jodelchörli Schangnau⟧ seit 1998.,Hannes Zinsli takes gold at the federal festival. jodlerverband-emmental.ch. Our conductor Hannes Zinsli has led the ⟦Schangnau yodelling choir⟧ since 1998.
RECON_Q7X_MAKLER_TITLE,"Suchtreffer: Hannes Zinsli, Immobilienmakler","Search result: Hannes Zinsli, estate agent"
RECON_Q7X_MAKLER_AUTHOR,goggle.local · Ergebnis 7 von 41,goggle.local · result 7 of 41
RECON_Q7X_MAKLER_BODY,"Hannes Zinsli, ⟦Immobilienmakler in Chur⟧. Ihr zuverlässiger Partner für Wohnungen und Häuser im Bündnerland.","Hannes Zinsli, ⟦estate agent in Chur⟧. Your reliable partner for flats and houses in the Grisons."
RECON_Q9_VEREIN_TITLE,Vereinsprotokoll mit Foto (PDF),Club minutes with photo (PDF)
RECON_Q9_VEREIN_AUTHOR,goggle.local · Ergebnis 12 von 41,goggle.local · result 12 of 41
RECON_Q9_VEREIN_BODY,"Schützengesellschaft Adliswil, Jahresprotokoll 2024 als PDF. ⟦Als Kassier wiedergewählt: Hannes Zinsli⟧. Dazu ein Foto vom Vereinsfest mit vollem Namen und Bildunterschrift.","Adliswil Shooting Club, annual minutes 2024 as a PDF. ⟦Re-elected as treasurer: Hannes Zinsli⟧. Plus a photo from the club party with his full name in the caption."
RECON_Q3_STELLE_TITLE,Stellenanzeige nennt IT-Partner,Job ad names the IT partner
RECON_Q3_STELLE_AUTHOR,JobScoot · Stelleninserat,JobScoot · job listing
RECON_Q3_STELLE_BODY,"FinTech AG sucht System Engineer, 80 bis 100 Prozent. Sie betreuen unsere Microsoft-365- und Azure-Umgebung in enger Zusammenarbeit mit unserem ⟦externen IT-Partner Bit & Bürli GmbH⟧. Wir bieten flexible Arbeitszeiten, ein modernes Büro am Zürichsee und ein motiviertes Team. Bewerbungen an jobs@fintech.ch.","FinTech AG is looking for a System Engineer, 80 to 100 percent. You will look after our Microsoft 365 and Azure environment in close cooperation with our ⟦external IT partner Bit & Bürli GmbH⟧. We offer flexible hours, a modern office on Lake Zurich and a motivated team. Applications to jobs@fintech.ch."
RECON_Q4_PRESSE_TITLE,Pressemitteilung: laufende Migration,Press release: migration under way
RECON_Q4_PRESSE_AUTHOR,fintech-ag.local · Medienmitteilung,fintech-ag.local · press release
RECON_Q4_PRESSE_BODY,"Die FinTech AG ⟦schliesst diesen Monat die Migration auf eine neue Cloud-Plattform ab⟧. Ein wichtiger Schritt für unsere Sicherheit, so CEO Hannes Zinsli. Umgesetzt wurde das Projekt gemeinsam mit dem Partner Bit & Bürli GmbH. Weitere Informationen folgen im nächsten Quartalsbericht.","FinTech AG ⟦completes its migration to a new cloud platform this month⟧. An important step for our security, says CEO Hannes Zinsli. The project was delivered together with partner Bit & Bürli GmbH. Further information will follow in the next quarterly report."
RECON_N_INSTA_SUNSET_AUTHOR,kevin_broesmeli · Story,kevin_broesmeli · Story
RECON_N_INSTA_SUNSET_BODY,Feierabend mit Aussicht. So lässt sich die Woche ausklingen. #sunset #feierabend,End of the day with a view. That is how you round off the week. #sunset #afterwork
RECON_N_INSTA_SETUP_AUTHOR,nadja.t · Beitrag,nadja.t · post
RECON_N_INSTA_SETUP_BODY,Neues Homeoffice-Setup steht endlich. Produktiv und gemütlich zugleich. #homeoffice #setup,The new home office setup is finally done. Productive and cosy at the same time. #homeoffice #setup
RECON_N_KMUNU_NEUTRAL_TITLE,Ganz okay,Perfectly okay
RECON_N_KMUNU_NEUTRAL_STARS,3,3
RECON_N_KMUNU_NEUTRAL_AUTHOR,Marketing · Aktuell · 3 Sterne,Marketing · current employee · 3 stars
RECON_N_KMUNU_NEUTRAL_BODY,"Weder gut noch schlecht. Man kommt, man arbeitet, man geht. Kantine ist in Ordnung, Parkplätze sind knapp. Nichts, worüber man gross reden müsste.","Neither good nor bad. You come in, you work, you leave. The canteen is fine, parking is tight. Nothing much to talk about."
RECON_N_KMUNU_KANTINE_TITLE,Essen könnte besser sein,Food could be better
RECON_N_KMUNU_KANTINE_STARS,4,4
RECON_N_KMUNU_KANTINE_AUTHOR,IT · Ehemalige/r · 4 Sterne,IT · former employee · 4 stars
RECON_N_KMUNU_KANTINE_BODY,Insgesamt zufrieden. Einziger Kritikpunkt: das Mittagsangebot wiederholt sich zu oft. Sonst faire Löhne und nette Kollegen.,Satisfied overall. Only criticism: the lunch menu repeats itself too often. Otherwise fair pay and nice colleagues.
RECON_N_GOGGLE_UNI_TITLE,"Prof. Dr. Hannes Zinsli, Universität Basel","Prof. Dr. Hannes Zinsli, University of Basel"
RECON_N_GOGGLE_UNI_AUTHOR,goggle.local · Ergebnis 5 von 41,goggle.local · result 5 of 41
RECON_N_GOGGLE_UNI_BODY,"Lehrstuhl für mittelalterliche Geschichte. Publikationen, Sprechstunden und Vorlesungsverzeichnis im Herbstsemester.","Chair of medieval history. Publications, office hours and the autumn semester course catalogue."
RECON_N_GOGGLE_AD_TITLE,"Zinsli günstig kaufen, Top Preise","Buy Zinsli cheap, top prices"
RECON_N_GOGGLE_AD_AUTHOR,goggle.local · Anzeige,goggle.local · advertisement
RECON_N_GOGGLE_AD_BODY,"Riesenauswahl zu Bestpreisen. Jetzt vergleichen und sparen, versandkostenfrei ab 50 Franken.","Huge selection at the best prices. Compare and save now, free shipping over 50 francs."
RECON_N_JOBSCOOT_VERKAUF_TITLE,Verkaufsberater/in Sportartikel 60%,"Sales advisor, sporting goods 60%"
RECON_N_JOBSCOOT_VERKAUF_AUTHOR,JobScoot · Stelleninserat,JobScoot · job listing
RECON_N_JOBSCOOT_VERKAUF_BODY,Für unsere Filiale in Winterthur suchen wir eine motivierte Persönlichkeit mit Freude am Kundenkontakt. Erfahrung im Detailhandel von Vorteil.,For our Winterthur branch we are looking for a motivated person who enjoys customer contact. Retail experience an advantage.
RECON_N_JOBSCOOT_PFLEGE_TITLE,"Pflegefachperson HF, Nachtdienst","Registered nurse, night shift"
RECON_N_JOBSCOOT_PFLEGE_AUTHOR,JobScoot · Stelleninserat,JobScoot · job listing
RECON_N_JOBSCOOT_PFLEGE_BODY,"Regionalspital sucht per sofort oder nach Vereinbarung. Attraktive Anstellungsbedingungen, gutes Team, moderne Infrastruktur.","Regional hospital hiring immediately or by arrangement. Attractive terms, good team, modern infrastructure."
RECON_N_PRESSE_JUBILAEUM_TITLE,25 Jahre FinTech AG,25 years of FinTech AG
RECON_N_PRESSE_JUBILAEUM_AUTHOR,fintech-ag.local · Medienmitteilung,fintech-ag.local · press release
RECON_N_PRESSE_JUBILAEUM_BODY,Dieses Jahr feiern wir unser 25-jähriges Bestehen. Wir danken unseren Kundinnen und Kunden für ihr Vertrauen und blicken mit Zuversicht in die Zukunft.,This year we celebrate our 25th anniversary. We thank our customers for their trust and look to the future with confidence.
RECON_Q10_ARCHIV_TITLE,FinTech AG Team (archivierte Seite),FinTech AG team (archived page)
RECON_Q10_ARCHIV_AUTHOR,web.archive.org · Snapshot 12.03.2019,web.archive.org · snapshot 12/03/2019
RECON_Q10_ARCHIV_BODY,"Alte Team-Seite der FinTech AG aus dem Webarchiv, längst gelöscht, hier aber noch gespeichert. Zeigt eine inzwischen ausgeschiedene Mitarbeiterin mit ⟦Direktwahl 044 555 21 40 und der Adresse vorname.nachname@fintech.ch⟧. Das Format war schon damals dasselbe.","An old FinTech AG team page from the web archive, long since deleted but still stored here. It shows an employee who has since left, with ⟦direct line 044 555 21 40 and the address firstname.lastname@fintech.ch⟧. The format was already the same back then."
RECON_Q3Z_SYSTEM_TITLE,FinTech AG sucht: Sachbearbeiter/in Zahlungsverkehr 80%,FinTech AG is hiring: payments clerk 80%
RECON_Q3Z_SYSTEM_AUTHOR,JobScoot · Stelleninserat,JobScoot · job listing
RECON_Q3Z_SYSTEM_BODY,Sie verarbeiten Zahlungen in unserem Kernbankensystem ⟦Finnova und betreuen den Fernzugang über unser VPN⟧. Wir bieten ein eingespieltes Team und moderne Infrastruktur. Bewerbungen an jobs@fintech.ch.,You will process payments in our core banking system ⟦Finnova and look after remote access via our VPN⟧. We offer an experienced team and modern infrastructure. Applications to jobs@fintech.ch.
RECON_Q3Y_KONKURRENZ_TITLE,ZugFin AG sucht: Community Manager 100%,ZugFin AG is hiring: community manager 100%
RECON_Q3Y_KONKURRENZ_AUTHOR,JobScoot · Stelleninserat,JobScoot · job listing
RECON_Q3Y_KONKURRENZ_BODY,"Junges Fintech-Team sucht Verstärkung für Social Media und Community. ⟦Büro in Zug, Homeoffice möglich⟧, Start nach Vereinbarung.","Young fintech team looking for support with social media and community. ⟦Office in Zug, home office possible⟧, start by arrangement."
RECON_Q5B_BADGE_AUTHOR,kevin_broesmeli · Beitrag,kevin_broesmeli · post
RECON_Q5B_BADGE_BODY,"Endlich offiziell, mein eigener Badge ist da. Fühlt sich richtig gut an. #newjob #fintech","Official at last, my own badge is here. Feels really good. #newjob #fintech"
RECON_Q5B_DETAILS_TITLE,Badge herangezoomt: Nummer und Gebäude,Badge zoomed in: number and building
RECON_Q5B_DETAILS_REVEAL,Badge zoomen,Zoom into badge
RECON_Q5B_DETAILS_AUTHOR,"kevin_broesmeli · Badge, herangezoomt","kevin_broesmeli · badge, zoomed in"
RECON_Q5B_DETAILS_BODY,"Auf dem Badge lesbar: Firmenlogo, Kevin Brösmeli, ⟦Mitarbeiternummer MA-0473, Gebäude A, 4. OG⟧. Genug, um am Empfang niemandem aufzufallen.","Readable on the badge: company logo, Kevin Brösmeli, ⟦employee number MA-0473, building A, 4th floor⟧. Enough to pass unnoticed at reception."
