keys,de,en
BADUSB_STORY_1_TITLE,Schritt 2: Der Aufzug (Mitläufer-Effekt),Step 2: The lift (bystander effect)
BADUSB_STORY_1_TEXT,"Du konntest den eingeschränkten Bereich betreten, weil die Mitarbeiter am Aufzug dachten: 'Wenn die Person schon hier drin ist, wird sie wohl hier arbeiten.' Wachsamkeit endet nicht an der Eingangstür. Unbekannte ohne sichtbaren Ausweis müssen freundlich angesprochen werden.","You got into the restricted area because the staff at the lift thought: 'If that person is already in here, they must work here.' Vigilance does not end at the front door. Strangers without a visible badge should be approached politely."
BADUSB_STORY_2_TITLE,Schritt 3: Tailgating an der Tür,Step 3: Tailgating at the door
BADUSB_STORY_2_TEXT,"Jemand hat dir aus reiner Freundlichkeit oder aus Unachtsamkeit die gesicherte Tür aufgelassen. In der realen Welt ist dies eine der häufigsten Schwachstellen. Höflichkeit darf Sicherheit nicht überschreiben. Jeder muss seinen eigenen Ausweis scannen, um Zutritt zu erhalten.","Someone held the secured door open for you, out of pure friendliness or inattention. In the real world this is one of the most common weak points. Politeness must not override security. Everyone has to badge in themselves to gain access."
BADUSB_STORY_3_TITLE,Schritt 4: Der ungesperrte Arbeitsplatz,Step 4: The unlocked workstation
BADUSB_STORY_3_TEXT,"Ein kurzer Moment der Unachtsamkeit – ein nicht gesperrter Computer. Dies ermöglichte es dir erst, den präparierten USB-Stick anzuschließen. Der Bildschirm muss beim Verlassen des Platzes immer und sofort gesperrt werden auch wenn man nur kurz weggeht.","A brief moment of inattention, an unlocked computer. That is what let you plug in the prepared USB stick in the first place. The screen must be locked immediately whenever you leave your desk, even for a moment."
BADUSB_STORY_4_TITLE,Fazit: Hätten die anderen ihren Job gemacht,Conclusion: If everyone had done their job
BADUSB_STORY_4_TEXT,"Das Unternehmen hatte eigentlich gute Sicherheits-Vorkehrungen. Doch weil sich jeder auf den anderen verließ, funktionierte deine Infiltration. Physische Sicherheit ist eine Teamaufgabe – sie funktioniert nur, wenn jeder die Verantwortung übernimmt und Sicherheit nicht als 'die Aufgabe der Anderen' ansieht.","The company actually had good security measures in place. But because everyone relied on someone else, your infiltration worked. Physical security is a team effort. It only works when everyone takes responsibility and stops treating security as 'someone else's job'."
BADUSB_UI_ACCESS_DENIED,Zugriff verweigert: Ausweis erforderlich,Access denied: badge required
BADUSB_UI_NPC_TAILGATE,"Oh, bei der Kleidung bist du bestimmt vom HR... Wir halten dir die Tür auf!","Oh, dressed like that you must be from HR... we will hold the door for you!"
BADUSB_BTN_ELEVATOR,Aufzug benutzen,Use the lift
BADUSB_BTN_SNEAK,Durch schleichen,Slip through
BADUSB_BTN_OPEN_DOOR,Tür Öffnen,Open door
BADUSB_BRIEF_TITLE,Mission Infiltration,Mission Infiltration
BADUSB_BRIEF_TEXT,Weil der Versuch das Unternemen mit einem Spear Phishing angriff zu besiegen fehlschlug ist nun die mission das Unternehmen physisch zu infiltrieren. Deine Mission ist es den USB Stick bis zu einem Arbeitsplatz an einen Rechner zu bringen und ein zu stecken. Los Gehts,"Since the attempt to beat the company with a spear phishing attack failed, the mission is now to infiltrate the company physically. Your mission is to carry the USB stick to a workstation and plug it in. Let's go."
BADUSB_BRIEF_START,Infiltration Starten,Start infiltration
BADUSB_RESOLVE_TITLE,SIMULATION ABGESCHLOSSEN,SIMULATION COMPLETE
BADUSB_BTN_NEXT,Weiter,Next
BADUSB_BTN_FINISH,Szenario Beenden,Finish scenario
BADUSB_BTN_ENTER_BUILDING,Gebäude Betreten,Enter building
BADUSB_BTN_RECEPTION_STRESSED,Rezeptionist gestresst ansprechen,Approach the receptionist stressed
BADUSB_BTN_RECEPTION_CONFIDENT,Rezeptionist überzeugt ansprechen,Approach the receptionist confident
BADUSB_PHASE_ARRIVAL,Anreise,Approach
BADUSB_PHASE_LOBBY,Lobby,Lobby
BADUSB_PHASE_FLOOR,Etage,Floor
BADUSB_PHASE_OFFICE,Büro,Office
BADUSB_PHASE_DEBRIEF,Debrief,Debrief
BADUSB_FAIL_0_TITLE,Aufgeflogen,Blown
BADUSB_FAIL_1_TITLE,Fazit: Eine Person hat gereicht,Conclusion: one person was enough
BADUSB_FAIL_1_TEXT,"Physische Angriffe leben davon, dass niemand den ersten Schritt hinterfragt. Hier hat jemand die Regel angewendet, obwohl es unbequem war. Damit war die Angriffskette gestoppt, bevor der USB-Stick überhaupt in die Nähe eines Rechners kam.","Physical attacks rely on nobody questioning the first step. Here someone applied the rule even though it was inconvenient. That stopped the attack chain before the USB stick got anywhere near a computer."
BADUSB_FAILURE_TEXT,Gescheitert: Deine Antworten haben aufsehen erregt und du wurdest zurückgewiesen.,Failed: your answers drew attention and you were turned away.
BADUSB_BTN_RETRY,Erneut Versuchen,Try again
BADUSB_BTN_GO_ELEVATOR,Zum Aufzug gehen,Go to the lift
BADUSB_BTN_INSERT_USB,USB-Stick einstecken,Insert USB stick
